ID,county,population,area,geometry
06021,Glenn,28129,1315,"POLYGON ((-122.911794 39.799485, -122.046471 39.797648, -121.947267 39.731202, -121.994343 39.671458, -121.994021 39.533926, -121.856532 39.536904, -121.890013 39.383864, -122.008857 39.413567, -122.136006 39.385494, -122.739062 39.383266, -122.735639 39.580668, -122.885352 39.580108, -122.892676 39.708898, -122.937654 39.798156, -122.911794 39.799485))"
06023,Humboldt,133985,3573,"POLYGON ((-124.387023 40.504954, -124.301355 40.659643, -124.176715 40.843618, -124.118147 40.989263, -124.125448 41.048504, -124.154513 41.087159, -124.163988 41.138675, -124.122677 41.189726, -124.092284 41.287695, -124.063076 41.439579, -124.067473659422 41.4647361884909, -123.770551 41.464193, -123.770239 41.380776, -123.661363 41.38209, -123.487831 41.376934, -123.408291 41.179944, -123.464006 41.076348, -123.406082 41.013792, -123.481357 40.915157, -123.560163 40.950257, -123.623662 40.929823, -123.55985 40.829584, -123.544059 40.739386, -123.544458 40.001923, -124.02520517453 40.001299341669, -124.035904 40.013319, -124.068908 40.021307, -124.087086 40.078442, -124.139952 40.11635, -124.187874 40.130542, -124.258405 40.184277, -124.34307 40.243979, -124.363414 40.260974, -124.353124 40.331425, -124.365357 40.374855, -124.409591 40.438076, -124.387023 40.504954))"
06025,Imperial,179057,4175,"POLYGON ((-116.08109 33.074833, -116.085165 33.425932, -115.467506 33.426992, -114.830833 33.430094, -114.629146518189 33.4335449999998, -114.635183 33.422726, -114.673901 33.418299, -114.725282 33.405048, -114.707348 33.376628, -114.707962 33.323421, -114.723259 33.288079, -114.674491 33.255597, -114.678097 33.2303, -114.679359 33.159519, -114.706175 33.105335, -114.670803 33.037984, -114.628293 33.031052, -114.575161 33.036542, -114.517492069319 33.0247159744928, -114.511343 33.023455, -114.481315 32.972064, -114.47664 32.923628, -114.463127 32.901884, -114.468971 32.845155, -114.531746 32.782503, -114.540260338478 32.7748291815141, -114.570675 32.747417, -114.615724877807 32.7412791646992, -114.667493 32.734226, -114.705717 32.741581, -114.719633 32.718763, -115.000802 32.699676, -115.465164 32.6671, -116.04662 32.623353, -116.106171526176 32.6185787329199, -116.08109 33.074833))"
06027,Inyo,18527,10192,"POLYGON ((-118.775014 37.463052, -117.833504044144 37.4649387662445, -117.68061 37.353399, -117.244917 37.030244, -117.166000564031 36.9712075385903, -117.000895 36.847694, -116.488233 36.459097, -116.375875 36.372562, -116.093601 36.155805, -115.892975 35.999967, -115.846113922762 35.9635526731109, -115.648032019625 35.8096292126029, -115.735891 35.79362, -116.277263 35.793394, -117.251015 35.795004, -117.634283 35.79726, -117.924406 35.798359, -118.008094 35.788935, -118.005489 35.862699, -117.980761 35.867515, -118.003577 35.983718, -118.033611 36.008944, -118.127147 36.279656, -118.100317 36.346137, -118.21482 36.435036, -118.239021 36.523635, -118.290523 36.558535, -118.274624 36.597334, -118.366328 36.691635, -118.360586 36.744773, -118.389758 36.834466, -118.360831 36.887734, -118.437137 37.059818, -118.592661 37.138147, -118.654593 37.141826, -118.716016 37.328208, -118.786736 37.34338, -118.775014 37.463052))"
06029,Kern,913820,8142,"POLYGON ((-120.194369 35.789363, -119.53812 35.789898, -118.918468 35.790498, -118.058925 35.791474, -118.008094 35.788935, -117.924406 35.798359, -117.634283 35.79726, -117.652136 35.709858, -117.634346 35.651571, -117.633691 35.439319, -117.631295 35.419566, -117.632248 34.990858, -117.632151 34.822271, -117.667459 34.822528, -117.916747 34.82255, -118.854009 34.817758, -118.865693 34.803209, -118.867158 34.8032, -118.894634 34.817972, -118.880405 34.788655, -118.977926 34.811714, -119.242534 34.814323, -119.276435 34.872481, -119.443691 34.901171, -119.472494 34.901378, -119.472552 35.076669, -119.561752 35.087831, -119.553819 35.180123, -119.667304 35.174982, -119.666585 35.262635, -119.809407 35.263693, -119.809218 35.345353, -119.880356 35.351124, -119.880045 35.439133, -119.99315 35.43947, -119.997449 35.468708, -120.065219 35.512964, -120.08618 35.614397, -120.193988 35.614389, -120.194369 35.789363))"
06031,Kings,152682,1390,"POLYGON ((-120.315068 35.907186, -119.959058 36.181747, -119.958925 36.255468, -119.959227 36.400975, -119.754213 36.402023, -119.66629 36.41896, -119.573194 36.488835, -119.527194 36.488886, -119.528792 36.401465, -119.475053 36.370923, -119.475364 36.327673, -119.474607 36.269025, -119.529358 36.26985, -119.53812 35.789898, -120.194369 35.789363, -120.213979 35.789276, -120.27576 35.905881, -120.315068 35.907186))"
06033,Lake,67878,1258,"POLYGON ((-123.077812 39.173791, -122.994839 39.235924, -123.019711 39.321785, -123.075114 39.407683, -123.063181 39.503539, -122.89031 39.529014, -122.885352 39.580108, -122.735639 39.580668, -122.739062 39.383266, -122.78509 39.382975, -122.743482 39.36813, -122.775043 39.311778, -122.680927 39.238726, -122.476083 39.172609, -122.492023 39.053503, -122.413416 39.020218, -122.409118 38.962793, -122.340172 38.924246, -122.421952 38.903562, -122.395312 38.863994, -122.374235 38.811787, -122.464115 38.706134, -122.626772 38.67078, -122.795989 38.838952, -122.821592 38.85014, -122.948865 38.90022, -122.98664 38.997283, -123.028035 38.996593, -123.093013 39.071994, -123.077812 39.173791))"
06035,Lassen,28861,4558,"POLYGON ((-121.331786 41.183886, -120.501404 41.18394, -119.999866 41.183974, -119.999231 40.865899, -119.997533 40.720992, -119.996155 40.32125, -119.997124 40.126363, -119.997634 39.956505, -119.999935448085 39.7224069247242, -120.015734 39.708721, -120.147149 39.707658, -120.110627 39.765779, -120.108761 39.93951, -120.201264 40.013474, -120.209641 40.086008, -120.341385 40.115243, -120.482848 40.205798, -120.510817 40.248945, -120.652158 40.307656, -120.764403 40.31601, -120.928582 40.191931, -121.061493 40.256417, -121.061417 40.446536, -121.327826 40.445367, -121.319976 40.905886, -121.331786 41.183886))"
06037,Los Angeles,9663345,4060,"MULTIPOLYGON (((-118.593969 33.467198, -118.484785 33.487483, -118.370323 33.409285, -118.286261 33.351463, -118.325244 33.299075, -118.374768 33.320065, -118.465368 33.326056, -118.482609 33.369914, -118.563442 33.434381, -118.593969 33.467198)), ((-118.594033 33.035951, -118.540069 32.980933, -118.446771 32.895424, -118.353504 32.821962, -118.425634 32.800595, -118.487908 32.84459, -118.581513 32.931672, -118.641578 33.017129, -118.594033 33.035951)), ((-118.940965 34.07483, -118.856473 34.126765, -118.788889 34.168214, -118.693834 34.168557, -118.667977 34.199159, -118.667773 34.222294, -118.632494 34.240391, -118.633461 34.269522, -118.636789 34.291804, -118.880405 34.788655, -118.894634 34.817972, -118.867158 34.8032, -118.865693 34.803209, -118.854009 34.817758, -117.916747 34.82255, -117.667459 34.822528, -117.655235 34.397222, -117.655213 34.396953, -117.646374 34.28917, -117.693563 34.121627, -117.71117 34.079536, -117.729416 34.025479, -117.746005 34.020119, -117.767657 34.023508, -117.802445 33.968308, -117.783252 33.946261, -117.868369 33.945941, -117.91999 33.946081, -117.976498 33.94605, -117.976575 33.906406, -118.028782 33.873322, -118.05892 33.846196, -118.05904 33.846195, -118.059037 33.84538, -118.093029 33.786121, -118.115076722882 33.743803322895, -118.132698 33.753217, -118.1837 33.736118, -118.231926185034 33.7152954681899, -118.258687 33.703741, -118.317205 33.712818, -118.333295024316 33.721184383577, -118.354705 33.732317, -118.396606 33.735917, -118.428407 33.774715, -118.394307 33.804315, -118.412708 33.883913, -118.460611 33.969111, -118.517277278306 34.0252914546544, -118.519514 34.027509, -118.603572 34.039048, -118.679366 34.033255, -118.744952 34.032103, -118.805114 34.001239, -118.854653 34.034215, -118.944479511459 34.046738953351, -118.940965 34.07483)))"
06039,Madera,162858,2138,"POLYGON ((-120.476692 37.09639, -120.241224 37.158187, -120.106385 37.167153, -120.052055 37.183108, -119.761809 37.417114, -119.651191 37.417832, -119.651172 37.461351, -119.58422 37.494696, -119.583585 37.560335, -119.308995 37.777986, -119.268979 37.73923, -119.124312 37.733944, -119.022363 37.585737, -119.286658 37.374943, -119.335189 37.310774, -119.330573 37.205791, -119.386521 37.14953, -119.43306 37.161516, -119.470844 37.110548, -119.506733 37.150554, -119.563187 37.139991, -119.549413 37.09402, -119.7405 36.970212, -119.733852 36.948558, -119.813734 36.850412, -119.905965 36.850105, -119.943507 36.83403, -120.027775 36.814505, -120.079458 36.825345, -120.229179 36.769687, -120.370256 36.78494, -120.369612 36.810355, -120.456246 36.862863, -120.450341 36.911172, -120.541696 37.044505, -120.476692 37.09639))"
